window_id,timestamp,traffic_speed,split
W01,2012-06-04 13:30:00,59.375,context
W01,2012-06-04 13:35:00,57.875,context
W01,2012-06-04 13:40:00,60.888888888888886,context
W01,2012-06-04 13:45:00,51.75,context
W01,2012-06-04 13:50:00,59.285714285714285,context
W01,2012-06-04 13:55:00,58.125,context
W01,2012-06-04 14:00:00,52.25,context
W01,2012-06-04 14:05:00,48.5,context
W01,2012-06-04 14:10:00,39.111111111111114,context
W01,2012-06-04 14:15:00,28.25,context
W01,2012-06-04 14:20:00,27.77777777777778,context
W01,2012-06-04 14:25:00,34.375,context
W01,2012-06-04 14:30:00,49.75,context
W01,2012-06-04 14:35:00,54.77777777777778,context
W01,2012-06-04 14:40:00,56.0,context
W01,2012-06-04 14:45:00,52.25,context
W01,2012-06-04 14:50:00,43.375,context
W01,2012-06-04 14:55:00,35.77777777777778,context
W01,2012-06-04 15:00:00,40.75,context
W01,2012-06-04 15:05:00,50.375,context
W01,2012-06-04 15:10:00,38.0,context
W01,2012-06-04 15:15:00,32.25,context
W01,2012-06-04 15:20:00,30.88888888888889,context
W01,2012-06-04 15:25:00,29.142857142857142,context
W01,2012-06-04 15:30:00,33.75,context
W01,2012-06-04 15:35:00,50.5,context
W01,2012-06-04 15:40:00,35.0,context
W01,2012-06-04 15:45:00,39.625,context
W01,2012-06-04 15:50:00,37.0,context
W01,2012-06-04 15:55:00,39.125,context
W01,2012-06-04 16:00:00,37.375,context
W01,2012-06-04 16:05:00,32.375,context
W01,2012-06-04 16:10:00,33.625,context
W01,2012-06-04 16:15:00,33.77777777777778,context
W01,2012-06-04 16:20:00,34.375,context
W01,2012-06-04 16:25:00,27.375,context
W01,2012-06-04 16:30:00,33.44444444444444,context
W01,2012-06-04 16:35:00,28.625,context
W01,2012-06-04 16:40:00,30.875,context
W01,2012-06-04 16:45:00,28.375,context
W01,2012-06-04 16:50:00,29.0,context
W01,2012-06-04 16:55:00,37.125,context
W01,2012-06-04 17:00:00,37.44444444444444,context
W01,2012-06-04 17:05:00,33.666666666666664,context
W01,2012-06-04 17:10:00,28.5,context
W01,2012-06-04 17:15:00,34.888888888888886,context
W01,2012-06-04 17:20:00,30.5,context
W01,2012-06-04 17:25:00,27.875,context
W01,2012-06-04 17:30:00,19.88888888888889,context
W01,2012-06-04 17:35:00,18.375,context
W01,2012-06-04 17:40:00,18.88888888888889,context
W01,2012-06-04 17:45:00,18.875,context
W01,2012-06-04 17:50:00,20.444444444444443,context
