timestamp,traffic_speed,split
2012-06-04 13:30:00,59.375,context
2012-06-04 13:35:00,57.875,context
2012-06-04 13:40:00,60.888888888888886,context
2012-06-04 13:45:00,51.75,context
2012-06-04 13:50:00,59.285714285714285,context
2012-06-04 13:55:00,58.125,context
2012-06-04 14:00:00,52.25,context
2012-06-04 14:05:00,48.5,context
2012-06-04 14:10:00,39.111111111111114,context
2012-06-04 14:15:00,28.25,context
2012-06-04 14:20:00,27.77777777777778,context
2012-06-04 14:25:00,34.375,context
2012-06-04 14:30:00,49.75,context
2012-06-04 14:35:00,54.77777777777778,context
2012-06-04 14:40:00,56.0,context
2012-06-04 14:45:00,52.25,context
2012-06-04 14:50:00,43.375,context
2012-06-04 14:55:00,35.77777777777778,context
2012-06-04 15:00:00,40.75,context
2012-06-04 15:05:00,50.375,context
2012-06-04 15:10:00,38.0,context
2012-06-04 15:15:00,32.25,context
2012-06-04 15:20:00,30.88888888888889,context
2012-06-04 15:25:00,29.142857142857142,context
2012-06-04 15:30:00,33.75,context
2012-06-04 15:35:00,50.5,context
2012-06-04 15:40:00,35.0,context
2012-06-04 15:45:00,39.625,context
2012-06-04 15:50:00,37.0,context
2012-06-04 15:55:00,39.125,context
2012-06-04 16:00:00,37.375,context
2012-06-04 16:05:00,32.375,context
2012-06-04 16:10:00,33.625,context
2012-06-04 16:15:00,33.77777777777778,context
2012-06-04 16:20:00,34.375,context
2012-06-04 16:25:00,27.375,context
2012-06-04 16:30:00,33.44444444444444,context
2012-06-04 16:35:00,28.625,context
2012-06-04 16:40:00,30.875,context
2012-06-04 16:45:00,28.375,context
2012-06-04 16:50:00,29.0,context
2012-06-04 16:55:00,37.125,context
2012-06-04 17:00:00,37.44444444444444,context
2012-06-04 17:05:00,33.666666666666664,context
2012-06-04 17:10:00,28.5,context
2012-06-04 17:15:00,34.888888888888886,context
2012-06-04 17:20:00,30.5,context
2012-06-04 17:25:00,27.875,context
2012-06-04 17:30:00,19.88888888888889,context
2012-06-04 17:35:00,18.375,context
2012-06-04 17:40:00,18.88888888888889,context
2012-06-04 17:45:00,18.875,context
2012-06-04 17:50:00,20.444444444444443,context
2012-06-04 17:55:00,25.0,context
2012-06-04 18:00:00,36.625,context
2012-06-04 18:05:00,36.375,context
2012-06-04 18:10:00,34.875,context
2012-06-04 18:15:00,36.0,context
2012-06-04 18:20:00,35.77777777777778,context
2012-06-04 18:25:00,35.0,context
2012-06-04 18:30:00,31.75,context
2012-06-04 18:35:00,37.888888888888886,context
2012-06-04 18:40:00,35.875,context
2012-06-04 18:45:00,32.77777777777778,context
2012-06-04 18:50:00,32.125,context
2012-06-04 18:55:00,25.375,context
2012-06-04 19:00:00,30.444444444444443,context
2012-06-04 19:05:00,29.5,context
2012-06-04 19:10:00,31.75,context
2012-06-04 19:15:00,29.625,context
2012-06-04 19:20:00,32.625,context
2012-06-04 19:25:00,39.285714285714285,context
2012-06-04 19:30:00,62.625,context
2012-06-04 19:35:00,64.0,context
2012-06-04 19:40:00,60.888888888888886,context
2012-06-04 19:45:00,64.875,context
2012-06-04 19:50:00,64.5,context
2012-06-04 19:55:00,66.25,context
2012-06-04 20:00:00,60.625,context
2012-06-04 20:05:00,61.22222222222222,context
2012-06-04 20:10:00,62.625,context
2012-06-04 20:15:00,64.66666666666667,context
2012-06-04 20:20:00,62.875,context
2012-06-04 20:25:00,64.625,context
2012-06-04 20:30:00,61.55555555555556,context
2012-06-04 20:35:00,61.25,context
2012-06-04 20:40:00,60.22222222222222,context
2012-06-04 20:45:00,63.875,context
2012-06-04 20:50:00,62.8,context
2012-06-04 20:55:00,62.0,context
2012-06-04 21:00:00,64.11111111111111,context
2012-06-04 21:05:00,65.66666666666667,context
2012-06-04 21:10:00,62.875,context
2012-06-04 21:15:00,62.77777777777778,context
2012-06-04 21:20:00,57.625,context
2012-06-04 21:25:00,65.75,context
2012-06-04 21:30:00,65.125,ground_truth
2012-06-04 21:35:00,56.625,ground_truth
2012-06-04 21:40:00,64.0,ground_truth
2012-06-04 21:45:00,64.125,ground_truth
2012-06-04 21:50:00,58.0,ground_truth
2012-06-04 21:55:00,65.5,ground_truth
2012-06-04 22:00:00,64.875,ground_truth
2012-06-04 22:05:00,66.0,ground_truth
2012-06-04 22:10:00,64.375,ground_truth
2012-06-04 22:15:00,65.66666666666667,ground_truth
2012-06-04 22:20:00,65.75,ground_truth
2012-06-04 22:25:00,64.55555555555556,ground_truth
2012-06-04 22:30:00,58.75,ground_truth
2012-06-04 22:35:00,66.0,ground_truth
2012-06-04 22:40:00,65.55555555555556,ground_truth
2012-06-04 22:45:00,65.5,ground_truth
2012-06-04 22:50:00,65.55555555555556,ground_truth
2012-06-04 22:55:00,66.75,ground_truth
2012-06-04 23:00:00,66.0,ground_truth
2012-06-04 23:05:00,66.75,ground_truth
2012-06-04 23:10:00,67.0,ground_truth
2012-06-04 23:15:00,67.22222222222223,ground_truth
2012-06-04 23:20:00,64.625,ground_truth
2012-06-04 23:25:00,63.625,ground_truth
