timestamp,traffic_speed,split
2012-06-04 13:30:00,66.25,context
2012-06-04 13:35:00,66.375,context
2012-06-04 13:40:00,66.88888888888889,context
2012-06-04 13:45:00,66.5,context
2012-06-04 13:50:00,67.42857142857143,context
2012-06-04 13:55:00,67.5,context
2012-06-04 14:00:00,67.0,context
2012-06-04 14:05:00,66.75,context
2012-06-04 14:10:00,68.0,context
2012-06-04 14:15:00,66.75,context
2012-06-04 14:20:00,67.88888888888889,context
2012-06-04 14:25:00,68.375,context
2012-06-04 14:30:00,68.5,context
2012-06-04 14:35:00,67.11111111111111,context
2012-06-04 14:40:00,57.5,context
2012-06-04 14:45:00,64.25,context
2012-06-04 14:50:00,64.5,context
2012-06-04 14:55:00,66.44444444444444,context
2012-06-04 15:00:00,65.75,context
2012-06-04 15:05:00,66.75,context
2012-06-04 15:10:00,68.57142857142857,context
2012-06-04 15:15:00,68.75,context
2012-06-04 15:20:00,68.0,context
2012-06-04 15:25:00,67.57142857142857,context
2012-06-04 15:30:00,66.625,context
2012-06-04 15:35:00,67.25,context
2012-06-04 15:40:00,66.44444444444444,context
2012-06-04 15:45:00,68.75,context
2012-06-04 15:50:00,65.77777777777777,context
2012-06-04 15:55:00,68.125,context
2012-06-04 16:00:00,67.125,context
2012-06-04 16:05:00,68.75,context
2012-06-04 16:10:00,67.75,context
2012-06-04 16:15:00,68.22222222222223,context
2012-06-04 16:20:00,67.0,context
2012-06-04 16:25:00,67.375,context
2012-06-04 16:30:00,68.22222222222223,context
2012-06-04 16:35:00,67.875,context
2012-06-04 16:40:00,68.5,context
2012-06-04 16:45:00,68.75,context
2012-06-04 16:50:00,67.66666666666667,context
2012-06-04 16:55:00,69.125,context
2012-06-04 17:00:00,68.66666666666667,context
2012-06-04 17:05:00,67.11111111111111,context
2012-06-04 17:10:00,58.25,context
2012-06-04 17:15:00,67.0,context
2012-06-04 17:20:00,67.625,context
2012-06-04 17:25:00,67.25,context
2012-06-04 17:30:00,67.88888888888889,context
2012-06-04 17:35:00,69.125,context
2012-06-04 17:40:00,69.66666666666667,context
2012-06-04 17:45:00,68.75,context
2012-06-04 17:50:00,68.0,context
2012-06-04 17:55:00,67.5,context
2012-06-04 18:00:00,68.875,context
2012-06-04 18:05:00,69.375,context
2012-06-04 18:10:00,66.625,context
2012-06-04 18:15:00,68.25,context
2012-06-04 18:20:00,68.55555555555556,context
2012-06-04 18:25:00,68.625,context
2012-06-04 18:30:00,69.25,context
2012-06-04 18:35:00,68.55555555555556,context
2012-06-04 18:40:00,69.625,context
2012-06-04 18:45:00,68.66666666666667,context
2012-06-04 18:50:00,68.875,context
2012-06-04 18:55:00,69.5,context
2012-06-04 19:00:00,69.44444444444444,context
2012-06-04 19:05:00,68.0,context
2012-06-04 19:10:00,66.25,context
2012-06-04 19:15:00,68.875,context
2012-06-04 19:20:00,68.25,context
2012-06-04 19:25:00,68.57142857142857,context
2012-06-04 19:30:00,68.375,context
2012-06-04 19:35:00,69.0,context
2012-06-04 19:40:00,67.66666666666667,context
2012-06-04 19:45:00,68.25,context
2012-06-04 19:50:00,69.375,context
2012-06-04 19:55:00,67.375,context
2012-06-04 20:00:00,68.875,context
2012-06-04 20:05:00,69.33333333333333,context
2012-06-04 20:10:00,68.5,context
2012-06-04 20:15:00,66.66666666666667,context
2012-06-04 20:20:00,67.75,context
2012-06-04 20:25:00,67.125,context
2012-06-04 20:30:00,67.44444444444444,context
2012-06-04 20:35:00,69.5,context
2012-06-04 20:40:00,68.0,context
2012-06-04 20:45:00,68.625,context
2012-06-04 20:50:00,69.8,context
2012-06-04 20:55:00,69.0,context
2012-06-04 21:00:00,67.88888888888889,context
2012-06-04 21:05:00,68.11111111111111,context
2012-06-04 21:10:00,67.875,context
2012-06-04 21:15:00,68.77777777777777,context
2012-06-04 21:20:00,68.25,context
2012-06-04 21:25:00,68.625,context
2012-06-04 21:30:00,67.625,ground_truth
2012-06-04 21:35:00,68.25,ground_truth
2012-06-04 21:40:00,68.44444444444444,ground_truth
2012-06-04 21:45:00,68.625,ground_truth
2012-06-04 21:50:00,68.66666666666667,ground_truth
2012-06-04 21:55:00,67.25,ground_truth
2012-06-04 22:00:00,67.375,ground_truth
2012-06-04 22:05:00,67.77777777777777,ground_truth
2012-06-04 22:10:00,66.625,ground_truth
2012-06-04 22:15:00,67.55555555555556,ground_truth
2012-06-04 22:20:00,66.25,ground_truth
2012-06-04 22:25:00,68.66666666666667,ground_truth
2012-06-04 22:30:00,59.25,ground_truth
2012-06-04 22:35:00,68.875,ground_truth
2012-06-04 22:40:00,60.888888888888886,ground_truth
2012-06-04 22:45:00,67.875,ground_truth
2012-06-04 22:50:00,67.55555555555556,ground_truth
2012-06-04 22:55:00,68.14285714285714,ground_truth
2012-06-04 23:00:00,68.44444444444444,ground_truth
2012-06-04 23:05:00,66.25,ground_truth
2012-06-04 23:10:00,69.5,ground_truth
2012-06-04 23:15:00,67.77777777777777,ground_truth
2012-06-04 23:20:00,68.75,ground_truth
2012-06-04 23:25:00,68.375,ground_truth
