timestamp,ground_truth,timesfm_2_5,moirai_2_0
2012-06-04 21:30:00,67.625,,68.35660552978516
2012-06-04 21:35:00,68.25,,68.36746978759766
2012-06-04 21:40:00,68.44444444444444,,68.35059356689453
2012-06-04 21:45:00,68.625,,68.39488983154297
2012-06-04 21:50:00,68.66666666666667,,68.36861419677734
2012-06-04 21:55:00,67.25,,68.380615234375
2012-06-04 22:00:00,67.375,,68.35735321044922
2012-06-04 22:05:00,67.77777777777777,,68.38826751708984
2012-06-04 22:10:00,66.625,,68.3404312133789
2012-06-04 22:15:00,67.55555555555556,,68.30908203125
2012-06-04 22:20:00,66.25,,68.3084487915039
2012-06-04 22:25:00,68.66666666666667,,68.34068298339844
2012-06-04 22:30:00,59.25,,68.34748077392578
2012-06-04 22:35:00,68.875,,68.33740997314453
2012-06-04 22:40:00,60.888888888888886,,68.31309509277344
2012-06-04 22:45:00,67.875,,68.32886505126953
2012-06-04 22:50:00,67.55555555555556,,68.3474349975586
2012-06-04 22:55:00,68.14285714285714,,68.35639953613281
2012-06-04 23:00:00,68.44444444444444,,68.30819702148438
2012-06-04 23:05:00,66.25,,68.34010314941406
2012-06-04 23:10:00,69.5,,68.27171325683594
2012-06-04 23:15:00,67.77777777777777,,68.31143188476562
2012-06-04 23:20:00,68.75,,68.2696762084961
2012-06-04 23:25:00,68.375,,68.27535247802734
