timestamp,ground_truth,q10,q50,q90
2012-06-04 21:30:00,65.125,60.19806671142578,64.81654357910156,68.34242248535156
2012-06-04 21:35:00,56.625,59.603126525878906,64.95730590820312,68.50164031982422
2012-06-04 21:40:00,64.0,59.20281982421875,65.03862762451172,68.79429626464844
2012-06-04 21:45:00,64.125,58.75267028808594,65.11444854736328,69.07240295410156
2012-06-04 21:50:00,58.0,58.49072265625,64.97058868408203,69.10478210449219
2012-06-04 21:55:00,65.5,58.298095703125,64.95645141601562,69.0181655883789
2012-06-04 22:00:00,64.875,58.081565856933594,64.96281433105469,69.5325927734375
2012-06-04 22:05:00,66.0,57.7700309753418,65.10725402832031,69.81184387207031
2012-06-04 22:10:00,64.375,57.12763595581055,64.92819213867188,69.79744720458984
2012-06-04 22:15:00,65.66666666666667,56.94674301147461,65.09972381591797,69.86605834960938
2012-06-04 22:20:00,65.75,56.539756774902344,65.00984191894531,69.8261489868164
2012-06-04 22:25:00,64.55555555555556,56.50438690185547,65.20549774169922,70.06769561767578
2012-06-04 22:30:00,58.75,56.42676544189453,65.17862701416016,70.2060775756836
2012-06-04 22:35:00,66.0,56.027976989746094,65.20743560791016,70.67152404785156
2012-06-04 22:40:00,65.55555555555556,56.00890350341797,65.47825622558594,70.81076049804688
2012-06-04 22:45:00,65.5,55.595863342285156,65.28633880615234,70.95079803466797
2012-06-04 22:50:00,65.55555555555556,55.30449295043945,65.29092407226562,70.6878662109375
2012-06-04 22:55:00,66.75,54.99102783203125,65.13465881347656,70.7044448852539
2012-06-04 23:00:00,66.0,55.178916931152344,65.1245346069336,70.50658416748047
2012-06-04 23:05:00,66.75,54.843509674072266,65.1312255859375,70.57904815673828
2012-06-04 23:10:00,67.0,54.72616958618164,65.0910873413086,70.51260375976562
2012-06-04 23:15:00,67.22222222222223,54.63295364379883,65.0650863647461,70.69696044921875
2012-06-04 23:20:00,64.625,54.20123291015625,65.06878662109375,70.85505676269531
2012-06-04 23:25:00,63.625,54.022666931152344,65.2795181274414,70.95526885986328
